id,contig,og,description,start_coord,end_coord,win_var,prob_win_var,io,prob_io
0,0,OG0000052,tRNA_uridine_5-carboxymethylaminomethyl_modification_enzyme_MnmG,1,1896,0.0,0.0,0.0,0.0
1,0,OG0000409,ATP_synthase_subunit_a,2026,2844,0.0,0.0,0.0,0.0
2,0,OG0000410,ATP_synthase_subunit_c,2887,3126,0.0,0.0,0.0,0.0
3,0,OG0000411,ATP_synthase_subunit_b,3237,3728,0.0,0.0,0.0,0.0
4,0,OG0000412,ATP_synthase_subunit_delta,3740,4273,0.0,0.0,0.0,0.0
5,0,OG0000413,ATP_synthase_subunit_alpha,4287,5819,0.0,0.0,0.0,0.0
6,0,OG0000414,ATP_synthase_gamma_chain,5886,6761,0.0,0.0,0.0,0.0
7,0,OG0000415,ATP_synthase_subunit_beta,6783,8183,0.0,0.0,0.0,0.0
8,0,OG0000416,ATP_synthase_epsilon_chain,8205,8621,0.0,0.0,0.0,0.0
9,0,OG0000053,DNA_gyrase_subunit_B,8726,11137,0.0,0.0,0.0,0.0
10,0,OG0000054,DNA_polymerase_III_subunit_beta,11292,12392,0.0,0.0,0.0,0.0
11,0,OG0000322,Chromosomal_replication_initiator_protein_DnaA,12397,13761,0.0,0.0,0.0,0.0
12,0,OG0000055,50S_ribosomal_protein_L34,14180,14323,0.0,0.0,0.0,0.0
13,0,OG0000487,Ribonuclease_P_protein_component,14337,14681,0.0,0.0,0.0,0.0
14,0,OG0000606,Putative_membrane_protein_insertion_efficiency_factor,14660,14917,0.0,0.0,0.0,0.0
15,0,OG0000007,Membrane_protein_insertase_YidC,14917,16530,0.0,0.0,0.0,0.0
16,0,OG0000016,tRNA_modification_GTPase_MnmE,16573,17943,0.0,0.0,0.0,0.0
17,0,OG0000056,10_kDa_chaperonin,18275,18565,0.0,0.0,0.0,0.0
18,0,OG0000057,60_kDa_chaperonin,18623,20269,0.0,0.0,0.0,0.0
19,0,OG0000586,L-lysine_2_3-aminomutase,20390,21403,0.0,0.0,0.0,0.0
20,0,OG0000344,Elongation_factor_P,21429,21992,0.0,0.0,0.0,0.0
21,0,OG0000058,DNA_replication_protein_DnaC,22015,22755,0.0,0.0,0.0,0.0
